COUNTRY,Region,Population,Area sq. mi.,Pop. Density
MOROCCO,NORTHERN AFRICA                    ,33241259,446550,74.44
MOZAMBIQUE,SUB-SAHARAN AFRICA                 ,19686505,801590,24.56
NAMIBIA,SUB-SAHARAN AFRICA                 ,2044147,825418,2.48
NAURU,OCEANIA                            ,13287,21,632.71
NEPAL,ASIA (EX. NEAR EAST)         ,28287147,147181,192.19
NETHERLANDS,WESTERN EUROPE                     ,16491461,41526,397.14
NETHERLANDS ANTILLES,LATIN AMER. & CARIB    ,221736,960,230.98
NEW CALEDONIA,OCEANIA                            ,219246,19060,11.5
NEW ZEALAND,OCEANIA                            ,4076140,268680,15.17
NICARAGUA,LATIN AMER. & CARIB    ,5570129,129494,43.01
NIGER,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.89
NIGERIA,SUB-SAHARAN AFRICA                 ,131859731,923768,142.74
N. MARIANA ISLANDS,OCEANIA                            ,82459,477,172.87
NORWAY,WESTERN EUROPE                     ,4610820,323802,14.24
OMAN,NEAR EAST                          ,3102229,212460,14.6
PAKISTAN,ASIA (EX. NEAR EAST)         ,165803560,803940,206.24
PALAU,OCEANIA                            ,20579,458,44.93
PANAMA,LATIN AMER. & CARIB    ,3191319,78200,40.81
PAPUA NEW GUINEA,OCEANIA                            ,5670544,462840,12.25
PARAGUAY,LATIN AMER. & CARIB    ,6506464,406750,16
PERU,LATIN AMER. & CARIB    ,28302603,1285220,22.02
PHILIPPINES,ASIA (EX. NEAR EAST)         ,89468677,300000,298.23
POLAND,EASTERN EUROPE                     ,38536869,312685,123.25
PORTUGAL,WESTERN EUROPE                     ,10605870,92391,114.79
PUERTO RICO,LATIN AMER. & CARIB    ,3927188,13790,284.79
QATAR,NEAR EAST                          ,885359,11437,77.41
REUNION,SUB-SAHARAN AFRICA                 ,787584,2517,312.91
ROMANIA,EASTERN EUROPE                     ,22303552,237500,93.91
RUSSIA,C.W. OF IND. STATES ,142893540,17075200,8.37
RWANDA,SUB-SAHARAN AFRICA                 ,8648248,26338,328.36
SAINT HELENA,SUB-SAHARAN AFRICA                 ,7502,413,18.16
SAINT KITTS & NEVIS,LATIN AMER. & CARIB    ,39129,261,149.92
SAINT LUCIA,LATIN AMER. & CARIB    ,168458,616,273.47
ST PIERRE & MIQUELON,NORTHERN AMERICA                   ,7026,242,29.03
SAINT VINCENT AND THE GRENADINES,LATIN AMER. & CARIB    ,117848,389,302.95
SAMOA,OCEANIA                            ,176908,2944,60.09
SAN MARINO,WESTERN EUROPE                     ,29251,61,479.52
SAO TOME & PRINCIPE,SUB-SAHARAN AFRICA                 ,193413,1001,193.22
SAUDI ARABIA,NEAR EAST                          ,27019731,1960582,13.78
SENEGAL,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1
SERBIA,EASTERN EUROPE                     ,9396411,88361,106.34
SEYCHELLES,SUB-SAHARAN AFRICA                 ,81541,455,179.21
SIERRA LEONE,SUB-SAHARAN AFRICA                 ,6005250,71740,83.71
SINGAPORE,ASIA (EX. NEAR EAST)         ,4492150,693,6482.18
SLOVAKIA,EASTERN EUROPE                     ,5439448,48845,111.36
SLOVENIA,EASTERN EUROPE                     ,2010347,20273,99.16
SOLOMON ISLANDS,OCEANIA                            ,552438,28450,19.42
SOMALIA,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9
SOUTH AFRICA,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.22
SPAIN,WESTERN EUROPE                     ,40397842,504782,80.03
SRI LANKA,ASIA (EX. NEAR EAST)         ,20222240,65610,308.22
SUDAN,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.46
SURINAME,LATIN AMER. & CARIB    ,439117,163270,2.69
SWAZILAND,SUB-SAHARAN AFRICA                 ,1136334,17363,65.45
SWEDEN,WESTERN EUROPE                     ,9016596,449964,20.04
SWITZERLAND,WESTERN EUROPE                     ,7523934,41290,182.22
SYRIA,NEAR EAST                          ,18881361,185180,101.96
